ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
27,,La sentina di un'unità è lo spazio compreso tra:,la poppa e la prima paratia.,F,la dritta e la sinistra dell'unità.,F,il fondo all'interno dello scafo e il pagliolo (o pagliolato).,V,1.1.1-27,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
28,,La linea che separa l'opera viva dall'opera morta è denominata:,linea di bordo libero.,F,linea di galleggiamento.,V,linea di chiglia.,F,1.1.1-28,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
29,,Come si chiama il pavimento interno di un'imbarcazione da diporto?,murata.,F,pagliolato.,V,dormiente.,F,1.1.1-29,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
30,,La battagliola è:,un'apertura praticata in coperta.,F,un punto specifico della murata ove appoggiare i parabordi tutte le volte che si esegue l'ormeggio di fianco.,F,una sorta di ringhiera laterale per aiutare il passaggio tra poppa e prora.,V,1.1.1-30,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
31,,"Quale affermazione, tra le seguenti, è corretta:",l'insieme di draglie e candelieri costituisce la battagliola a protezione del camminamento per il passaggio tra poppa e prora.,V,la stazza esprime la larghezza totale della scafo.,F,l'opera viva è la parte emersa dello scafo.,F,1.1.1-31,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
32,,Lo scafo di un'unità da diporto è la:,sezione maestra dell'opera morta.,F,sezione maestra dell'opera viva.,F,struttura che costituisce il guscio dell'unità.,V,1.1.1-32,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
33,,"La ""losca"" è:",un foro per il quale passa la catena dell'ancora quando viene dato fondo.,F,"un'apertura, ricavata nella poppa, per la quale passa l'asse del timone.",V,"la parte più bassa dello scafo, immediatamente al di sotto del motore, dove si raccolgono eventuali perdite di fluidi.",F,1.1.1-33,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
34,,Il beccheggio è l'oscillazione dell'unità intorno al suo asse:,trasversale.,V,longitudinale.,F,verticale.,F,1.1.1-34,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
35,,"La parte strutturale della poppa, alla quale si incardina il timone, se esterno, è:",il dritto di poppa.,V,la losca del timone.,F,il ginocchio di poppa.,F,1.1.1-35,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
36,,"Le strutture verticali, che suddividono internamente lo scafo, sono:",le murate.,F,le paratie.,V,il pagliolato.,F,1.1.1-36,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
37,,La carena è:,l'opera viva.,V,la parte esterna dello scafo.,F,l’opera morta.,F,1.1.1-37,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
38,,Una sovrastruttura è quella parte della nave che si eleva al di sopra del:,pagliolato.,F,paramezzale.,F,ponte di coperta nel caso di unità con unico ponte.,V,1.1.1-38,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
39,,La tuga è:,la sovrastruttura abitabile innalzata sopra un ponte.,V,un elemento costruttivo ubicato sotto il ponte.,F,"un vano destinato al ricovero di cime, vele e accessori.",F,1.1.1-39,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
40,,La sagola è:,la corda più lunga.,F,una sartia volante.,F,una cima di piccolo diametro,V,1.1.1-40,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
41,,Cosa si intende per giardinetto?,la parte esterna convessa (a dritta e sinistra) in corrispondenza della prua.,F,la zona più esterna e centrale della poppa.,F,"la porzione terminale della parte esterna dello scafo, posto in prossimità della poppa (a dritta e a sinistra), con profilo spigoloso o tondeggiante.",V,1.1.1-41,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
42,,Cosa è il boccaporto?,il giardinetto come la parte curva dello scafo vicino alla prora.,F,il trincarino come la protezione esterna dello scafo.,F,l'apertura nel ponte di coperta per il passaggio all'interno di persone o cose.,V,1.1.1-42,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
43,,Qual è la funzione degli zinchi?,evitare le corrosioni galvaniche.,V,aumentare la zavorra.,F,impedire che l'acqua filtri all'interno dello scafo.,F,1.1.1-43,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
44,,"Il flying bridge, detto anche fly, è:","il ponte superiore di una unità a motore, dove è collocata la seconda timoneria.",V,"il ponte principale, dove si trova la timoneria principale.",F,un tipo di vela.,F,1.1.1-44,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
45,,Cos'è il baglio massimo:,la distanza verticale tra la linea di galleggiamento e la parte superiore della chiglia.,F,il peso totale che la nave può trasportare.,F,la larghezza massima dello scafo.,V,1.1.1-45,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
46,,Il pagliolo di un'imbarcazione da diporto è:,una trave longitudinale che sostiene i bagli.,F,un piano amovibile e calpestabile sotto coperta.,V,un elemento essenziale per il rinforzo trasversale dell'imbarcazione.,F,1.1.1-46,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
47,,La distanza verticale posta tra la coperta e la linea di galleggiamento è:,il bordo libero.,V,l'immersione.,F,l'opera viva.,F,1.1.1-47,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
48,,Cosa è la sezione maestra dello scafo?,"la sezione trasversale centrale che, normalmente, ha maggior larghezza",V,la zona in cui si comanda.,F,la sezione iniziale dello scafo,F,1.1.1-48,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
49,,In un'imbarcazione da diporto la tuga è:,"la sovrastruttura elevata sulla coperta, che non si estende per tutta la larghezza dell'unità.",V,il pozzetto a poppa ovvero la parte ribassata rispetto al piano di coperta.,F,"la sovrastruttura elevata sulla coperta, che si estende per tutta la larghezza dell'unità.",F,1.1.1-49,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
50,,I candelieri sono:,fanali bianchi da accendere in caso di emergenza.,F,gli appigli orizzontali di sicurezza.,F,elementi verticali delle battagliole.,V,1.1.1-50,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
51,,Il piano di calpestìo più basso di un’imbarcazione da diporto si chiama:,sentina.,F,coperta.,F,pagliolato.,V,1.1.1-51,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
52,,La carena viene detta dislocante se è del tipo:,piatta.,F,catamarano.,F,tonda.,V,1.1.1-52,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
53,,La linea di galleggiamento:,è la linea che divide lo scafo in opera viva e opera morta.,V,è la parte terminale superiore della fiancata.,F,indica il limite superiore del bordo libero.,F,1.1.1-53,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
54,,Un catamarano:,non plana e navigando sposta l’acqua a destra e a sinistra.,F,non plana e si alza sul filo dell’acqua.,F,presenta due scafi.,V,1.1.1-54,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
55,,Il timone è compensato quando:,è composto da un particolare tipo di legno.,F,una parte della pala è a proravia dell'asse.,V,corregge eventuali errori del timoniere.,F,1.1.1-55,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
56,,Come si chiama la superficie del timone su cui agisce la pressione dell'acqua?,asse.,F,pala.,V,ruota.,F,1.1.1-56,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
57,,Il timone è compensato se:,una parte della pala è a proravia dell'asse.,V,tutta la pala  è a poppavia dell'asse.,F,la pala è dotata di asse in alluminio.,F,1.1.1-57,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
58,Figura 7,La freccia verso l'unità rappresentata in figura a fianco indica il:,mascone.,F,traverso.,V,giardinetto.,F,1.1.1-58,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
59,Figura 8,Le frecce in figura indicano:,il mascone di sinistra.,F,la murata sinistra.,V,il giardinetto di sinistra.,F,1.1.1-59,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
60,Figura 9,Le frecce in figura indicano:,il baglio massimo.,F,il mascone di dritta.,F,la murata di dritta.,V,1.1.1-60,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
61,,I tubolari sono:,"i tubi di scarico del pozzetto, collegati agli ombrinali.",F,"le parti esterne di un battello pneumatico, che ne garantiscono una parte della riserva di galleggiamento.",V,l'insieme degli elementi a protezione del camminamento per il passaggio tra poppa e prora.,F,1.1.1-61,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
62,,Per RIB (o RHIB) si intende:,i battelli pneumatici con chiglia rigida.,V,il musone di prua dove è alloggiata l'ancora.,F,è un nome di fantasia.,F,1.1.1-62,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
63,,Si chiama musone:,è un nome di fantasia.,F,l'attacco del timone sullo specchio di poppa.,F,"la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell´ancora.",V,1.1.1-63,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
64,,Il passascafo è:,la parte filettata che attraversa lo spessore della carena e si connette alla presa a mare nelle tubazioni che trasportano l'acqua alle o dalle varie utenze.,V,il foro da cui defluisce l'acqua dal pozzetto.,F,il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.,F,1.1.1-64,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
65,,Il pozzetto è:,"la parte esterna di un'imbarcazione dove solitamente sono posizionate le manovre e il timone, destinata ad accogliere gli ospiti in sicurezza.",V,il punto di raccolta di eventuali perdite di fluidi del motore.,F,l'apertura per far defluire l'acqua presente in coperta.,F,1.1.1-65,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
66,,Il pulpito è:,l'attacco della ruota del timone.,F,"la protezione dalle cadute posta a estrema prua e estrema poppa, solitamente in tubo di acciaio, cui è ancorata la battagliola.",V,"la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell´ancora.",F,1.1.1-66,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
67,,Si dicono prese a mare:,"le valvole, poste in connessione con i passascafo, che consentono di chiudere l'ingresso dell'acqua all'interno della barca.",V,le elichette che fuoriescono dallo scafo con cui il log determina la velocità dello scafo.,F,è un termine di fantasia.,F,1.1.1-67,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
68,,"In base alle prestazioni nautiche dei principali tipi di scafo, si può affermare che:","la carena a ""V"" profonda affronta meglio il moto ondoso molto formato.",V,la carena dislocante è la più adatta alla planata.,F,la carena piatta è la più adatta per affrontare il moto ondoso formato.,F,1.1.1-68,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
69,,Il rollìo è l'oscillazione dell'unità intorno al suo asse:,longitudinale.,V,verticale.,F,trasversale.,F,1.1.1-69,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
70,,La carena viene detta dislocante se:,se in un dato momento non plana.,F,plana e si alza sul filo dell'acqua.,F,è tonda oppure a V profondo.,V,1.1.1-70,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
71,,La carena viene detta dislocante se è del tipo:,non plana e navigando sposta l’acqua a destra e a sinistra.,V,plana e si alza sul filo dell’acq,F,presenta due scafi.,F,1.1.1-71,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
72,,Per trim si intende:,una tipologia di carena.,F,il pistone idraulico che va ad agire sulla posizione del motore fuoribordo modificando l'angolo tra lo specchio di poppa e il gambo del motore stesso.,V,il sistema di comunicazione radio.,F,1.1.1-72,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
73,,I flaps sono:,"appendici immerse, montate sullo specchio di poppa, per influire sull'assetto della carena.",V,le alette delle imbarcazioni a vela.,F,"non esistono, è un nome di fantasia.",F,1.1.1-73,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
74,,I flaps:,"sono montati sullo specchio di poppa, sono sempre due, uno sull’estremità destra e l’altro sull’estremità sinistra.",V,sono montati uno sullo specchio di poppa e l'altro subito al di sotto della prua.,F,"sono sempre due, montati subito al di sotto della prua.",F,1.1.1-74,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
75,,Il controllo dei flaps è solitamente:,"manuale, effettuato tramite dei leveraggi disposti nella zona poppiera dell'unità.",F,regolato dal cantiere all'atto della prima messa in acqua.,F,"realizzato attraverso il monitoraggio di un display, normalmente posto sulla plancia, analogico o digitale, che indica la loro altezza.",V,1.1.1-75,BASE,TEORIA DELLO SCAFO,Nomenclatura delle parti principali dello scafo
76,,"Tra un'elica a passo fisso, una a pale abbattibili ed una a pale orientabili, l'elica che  ha il minor rendimento a marcia indietro è quella a:",pale orientabili.,F,pale fisse.,F,pale abbattibili.,V,1.1.2-1,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
77,,In retromarcia con un'unica elica destrorsa:,la poppa ruota più facilmente a sinistra.,V,la poppa ruota più facilmente a dritta.,F,è indifferente.,F,1.1.2-2,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
78,,Unità da diporto a motore con a dritta elica destrorsa; si può ragionevolmente ritenere che quella di sinistra:,"non ha importanza, perché può essere indifferentemente sinistrorsa o destrorsa in quanto, in entrambi i casi, l'unità evoluisce sempre allo stesso moto ed alle medesime condizioni.",F,è sinistrorsa.,V,tende a spostare la prua lateralmente verso sinistra.,F,1.1.2-3,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
79,,In retromarcia con un'unica elica sinistrorsa:,la poppa ruota più facilmente a sinistra.,F,la poppa ruota più facilmente a dritta.,V,è indifferente.,F,1.1.2-4,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
80,,"Su un'unità munita di due motori, le eliche generalmente sono:",sinistrorsa a sinistra e destrorsa a dritta.,V,entrambe sinistrorse.,F,entrambe destrorse.,F,1.1.2-5,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
81,,"In navigazione a motore, dov'è ubicato, rispetto al centro nave, l'asse di rotazione intorno al quale l'unità accosta?",verso prua.,V,verso poppa.,F,al centro.,F,1.1.2-6,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
82,,"Un'elica è destrorsa se, guardando la poppa dall'esterno, le pale:",girano in senso orario in marcia indietro.,F,girano in senso orario in marcia avanti.,V,girano in senso antiorario in marcia avanti.,F,1.1.2-7,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
83,,"Cosa, oltre la spinta esercitata dalle singole pale, influisce sull'effetto evolutivo dell'elica?",la rapidità dell'invertitore di inserire una marcia.,F,il diametro del mozzo dell'elica.,F,il flusso d'acqua spinto contro la pala del timone o la carena.,V,1.1.2-8,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
84,,Il timone compensato serve a:,avere un timone più robusto.,F,allontanare dall'asse di rotazione il punto di applicazione della risultante della pressione esercitata dall'acqua sulle pale.,F,ridurre la resistenza della pala alla rotazione e quindi la durezza della barra/ruota.,V,1.1.2-9,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
85,,Un timone compensato è quel timone:,di rispetto.,F,i cui effetti evolutivi sono compensati da quelli dell'elica.,F,che presenta una parte della pala a proravia dell'asse.,V,1.1.2-10,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
86,,Com'è definita la differenza tra la distanza teorica e quella effettiva percorsa da un'elica in un giro completo?,passo.,F,diametro.,F,regresso.,V,1.1.2-11,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
87,,L'effetto evolutivo di un'elica destrorsa in rotazione all'indietro (retromarcia) fa ruotare:,sia la poppa sia la prora verso dritta.,F,"la poppa verso dritta, quindi la prora verso sinistra.",F,"la poppa verso sinistra, quindi la prora verso dritta.",V,1.1.2-12,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
88,,Qual è l'angolo di rotazione del timone (intorno al suo asse) per ottenere il massimo effetto di governo?,tra 90 gradi e 115 gradi.,F,tra 50 gradi e 90 gradi.,F,tra 30 gradi e 40 gradi.,V,1.1.2-13,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
89,,"In marcia avanti, portando la ruota del timone a sinistra, come si comporta la poppa dell'unità?",accosta a dritta.,V,accosta a sinistra.,F,orza.,F,1.1.2-14,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
90,,"Un'elica si definisce sinistrorsa quando, guardando la poppa dall'esterno, le pale girano in senso:",antiorario nella marcia avanti.,V,antiorario nella marcia indietro.,F,orario nella marcia avanti.,F,1.1.2-15,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
91,,La distanza teorica che un'elica percorrerebbe in un giro completo se l'acqua fosse solida è denominata:,passo teorico.,V,diametro teorico.,F,regresso teorico.,F,1.1.2-16,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
92,,"L'elica con passo lungo e diametro piccolo, rispetto a una, che al contrario, ha passo piccolo e diametro più grande:",produce maggiore velocità.,V,produce maggior spinta.,F,è indifferente.,F,1.1.2-17,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
93,,"In generale, oltre all'accostata, l'impiego del timone con pala produce i seguenti effetti:","spostamento laterale sul lato dell'accostata, lieve appoppamento.",F,"riduzione di velocità, spostamento laterale sul lato opposto a quello della pala, leggero appruamento.",V,esclusivamente lo sbandamento.,F,1.1.2-18,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
94,,La curva di evoluzione:,è riferita alla velocità dell'unità.,F,è la traiettoria descritta dall'unità che accosta verso dritta ovvero sinistra.,V,descrive la rotazione del timone,F,1.1.2-19,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
95,,"Riguardo al funzionamento del timone a barra, abbiamo che:","se in moto avanti, con barra a dritta la prora accosta a dritta.",F,"se in moto indietro, con barra a dritta la poppa accosta a sinistra.",V,"se in moto indietro, con barra a dritta la poppa accosta a dritta.",F,1.1.2-20,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
96,,Per effettuare un corretto ormeggio di poppa alla banchina:,si retrocede perpendicolarmente alla banchina presentando il mascone e correggendo solo col timone.,F,"con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina.",V,"con elica destrorsa, si retrocede perpendicolarmente alla banchina correggendo con il timone a sinistra.",F,1.1.2-21,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
97,,Effettuo un ormeggio di fianco (all'inglese) con un'elica destrorsa:,se aziono il motore in marcia indietro avvicino la prua alla banchina,F,l'unità si muove parallelamente alla banchina.,F,"con la banchina a sinistra, si dà marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio.",V,1.1.2-22,BASE,TEORIA DELLO SCAFO,Effetti  evolutivi  dell'elica  e  del timone.  Elementi  di stabilità dell'unità.
